Date	Ping	Down	Up
20170320 18:30:00	13.761	91.38	28.43
20170320 19:00:01	14.542	90.96	31.15
20170320 19:30:00	11.235	89.22	27.09
20170320 20:00:01	22.341	88.42	27.34
20170320 20:30:01	52.948	70.22	17.76
20170320 21:00:00	53.315	65.80	18.28
20170320 21:30:00	46.875	69.62	16.83
20170320 22:00:00	11.015	88.73	25.53
20170320 22:30:00	14.916	91.51	29.69
20170320 23:00:00	10.229	90.64	27.09
20170320 23:30:00	15.434	90.87	29.69
20170321 00:00:00	10.768	88.63	28.26
20170321 00:30:00	15.886	88.87	24.47
20170321 01:00:00	14.213	90.85	29.25
20170321 01:30:00	15.505	91.90	30.95
20170321 02:00:01	10.543	88.61	25.38
20170321 02:30:00	10.711	90.74	29.20
20170321 03:00:00	13.709	91.77	25.96
20170321 03:30:01	13.715	90.16	30.95
20170321 04:00:00	10.32	90.00	26.41
20170321 04:30:00	13.724	89.70	29.41
20170321 05:00:00	10.787	90.65	29.03
20170321 05:30:01	14.456	91.52	28.01
20170321 06:00:00	10.587	89.15	28.47
20170321 06:30:00	13.749	91.29	25.09
20170321 07:00:00	10.081	90.26	27.52
20170321 07:30:00	14.665	90.47	32.00
20170321 08:00:00	10.733	90.97	30.49
20170321 08:30:00	15.302	89.21	29.26
20170321 09:00:00	11.485	89.87	28.00
20170321 09:30:00	11.212	89.87	26.40
20170321 10:00:00	10.671	91.77	30.15
20170321 10:30:00	14.096	85.15	29.40
20170321 11:00:00	10.871	84.79	28.19
20170321 11:30:00	10.633	84.57	28.55
20170321 12:00:00	10.737	85.23	27.55
20170321 12:30:00	14.695	84.41	29.47
20170321 13:00:00	15.125	83.22	27.25
20170321 13:30:00	10.866	90.13	27.56
20170321 14:00:00	14.628	90.45	25.91
20170321 14:30:00	10.972	89.78	27.13
20170321 15:00:00	214.768	91.10	29.88
20170321 15:30:01	13.617	91.13	30.35
20170321 16:00:00	14.084	88.23	29.50
20170321 16:30:00	10.782	90.66	29.70
20170321 17:00:00	14.744	91.35	29.14
20170321 17:30:00	10.599	91.89	27.61
20170321 18:00:00	13.624	90.51	28.75
20170321 18:30:00	14.41	91.05	30.88
20170321 19:00:01	10.645	84.53	19.00
20170321 19:30:00	28.701	76.63	22.73
20170322 00:30:00	14.837	92.90	28.28
20170322 01:00:00	10.595	90.88	28.82
20170322 01:30:00	14.522	90.82	27.48
20170322 02:00:00	15.543	90.75	28.64
20170322 02:30:01	13.775	92.35	28.97
20170322 03:00:00	10.592	91.37	30.36
20170322 03:30:01	13.595	87.82	26.67
20170322 04:00:00	13.614	90.82	27.92
20170322 04:30:00	13.688	90.71	29.76
20170322 05:00:00	10.737	91.88	29.87
20170322 05:30:00	13.658	90.25	28.84
20170322 06:00:00	13.465	89.19	29.88
20170322 06:30:00	10.657	90.93	30.12
20170322 07:00:00	13.686	89.59	28.22
20170322 07:30:00	10.681	90.30	30.90
20170322 08:00:00	15.389	92.04	28.28
20170322 08:30:00	10.803	92.04	28.79
20170322 09:00:00	10.784	88.24	28.00
20170322 09:30:01	10.761	91.56	29.72
20170322 10:00:00	14.081	89.91	29.64
20170322 10:30:00	10.662	91.86	24.03
20170322 11:00:00	13.755	89.39	30.29
20170322 11:30:00	10.516	87.56	29.69
20170322 12:00:00	13.987	86.27	28.53
20170322 12:30:00	10.927	91.44	28.65
20170322 13:00:00	215.07	89.76	29.36
20170322 13:30:00	14.081	91.73	27.71
20170322 14:00:00	10.621	89.83	28.20
20170322 14:30:00	14.424	91.38	29.38
20170322 15:00:00	10.826	90.32	33.31
20170322 15:30:00	14.918	91.48	29.56
20170322 16:00:00	15.799	89.59	30.58
20170322 16:30:00	14.482	90.09	29.17
20170322 17:00:00	14.213	90.59	26.68
20170322 17:30:00	10.539	90.87	29.03
20170322 18:00:00	10.826	90.37	29.18
20170322 18:30:00	10.884	87.95	25.28
20170322 19:00:00	11.064	88.66	28.81
20170322 19:30:00	20.657	86.66	26.74
20170322 20:00:00	23.442	88.63	28.25
20170322 20:30:00	12.031	83.63	23.58
20170322 21:00:00	77.825	53.79	14.24
20170322 21:30:00	17.14	78.86	18.41
20170322 22:00:00	10.487	89.82	28.93
20170322 22:30:00	10.616	87.74	28.22
20170322 23:00:01	13.803	77.27	29.66
20170322 23:30:00	13.768	89.93	27.56
20170323 00:00:01	10.527	87.72	26.78
20170323 00:30:00	15.115	89.69	30.73
20170323 01:00:00	10.955	90.26	27.82
20170323 01:30:00	14.49	90.33	24.95
20170323 02:00:00	13.684	90.88	29.21
20170323 02:30:00	14.311	91.21	25.86
20170323 03:00:01	10.736	91.01	25.77
20170323 03:30:00	13.592	88.02	28.70
20170323 04:00:00	10.898	87.38	29.27
20170323 04:30:00	15.23	91.68	28.40
20170323 05:00:00	10.362	91.34	30.06
20170323 05:30:00	10.786	89.09	28.87
20170323 06:00:00	10.799	88.41	28.06
20170323 06:30:00	15.239	91.90	26.11
20170323 07:00:00	14.327	91.43	30.25
20170323 07:30:00	10.534	92.09	28.02
20170323 08:00:00	15.177	89.32	31.17
20170323 08:30:00	10.814	90.83	27.12
20170323 09:00:00	15.714	91.47	26.84
20170323 09:30:00	15.221	91.43	29.96
20170323 10:00:00	10.878	91.73	30.09
20170323 10:30:00	16.082	89.19	29.74
20170323 11:00:00	10.651	90.79	27.53
20170323 11:30:00	11.113	90.53	29.88
20170323 12:00:00	10.655	88.71	28.15
20170323 12:30:00	10.426	92.00	30.81
20170323 13:00:00	10.624	90.92	29.63
20170323 13:30:00	11.171	82.13	30.50
20170323 14:00:00	11.077	85.67	25.62
20170323 14:30:00	10.966	86.22	24.55
20170323 15:00:00	15.974	85.09	29.72
20170323 15:30:00	10.791	77.75	27.94
20170323 16:00:00	15.022	85.73	28.94
20170323 16:30:00	10.394	89.60	26.76
20170323 17:00:00	15.337	90.05	29.76
20170323 17:30:00	10.719	90.68	29.37
20170323 18:00:00	14.455	90.10	28.43
20170323 18:30:00	10.89	88.85	28.95
20170323 19:00:00	14.998	88.52	27.33
20170323 19:30:00	11.716	88.50	27.20
20170323 20:00:00	15.949	89.41	30.48
20170323 23:30:00	14.892	92.24	30.46
20170324 00:00:00	10.604	91.55	27.32
20170324 00:30:00	15.328	91.73	29.12
20170324 01:00:00	10.759	90.52	27.03
20170324 01:30:01	10.617	90.41	27.85
20170324 02:00:00	10.399	90.16	28.23
20170324 02:30:01	10.56	89.76	31.18
20170324 03:00:00	10.78	90.59	28.68
20170324 03:30:00	15.425	90.85	28.26
20170324 04:00:00	10.729	92.05	27.12
20170324 04:30:00	16.03	88.56	27.98
20170324 05:00:00	10.821	91.34	29.55
20170324 05:30:00	10.455	91.85	27.82
20170324 06:00:00	10.759	88.62	25.87
20170324 06:30:00	15.075	90.27	30.47
20170324 07:00:00	14.059	91.08	27.11
20170324 07:30:00	14.628	92.07	31.07
20170324 08:00:00	11.001	91.15	28.07
20170324 08:30:00	13.86	91.47	28.32
20170324 09:00:00	14.099	89.28	28.20
20170324 09:30:00	10.841	91.21	28.91
20170324 10:00:00	13.927	91.22	29.37
20170324 10:30:00	10.712	90.80	29.27
20170324 11:00:00	13.978	89.79	27.10
20170324 11:30:00	14.224	91.97	25.67
20170324 12:00:01	10.909	90.45	29.04
20170324 12:30:00	10.434	90.92	28.35
20170324 13:00:00	13.716	90.31	27.30
20170324 13:30:00	15.466	85.00	29.39
20170324 14:00:00	13.921	87.89	29.94
20170324 14:30:00	14.946	88.94	31.92
20170324 15:00:00	14.289	88.56	29.07
20170324 15:30:00	10.686	81.33	29.45
20170324 16:00:00	13.815	81.12	30.16
20170324 16:30:00	10.692	84.67	30.14
20170324 17:00:00	13.343	88.76	27.18
20170324 17:30:00	10.806	89.41	27.98
20170324 18:00:00	10.661	86.30	31.28
20170324 18:30:00	14.446	88.72	31.03
20170324 19:00:00	13.828	85.11	29.60
20170324 19:30:00	10.655	86.74	26.50
20170324 20:00:00	10.716	88.26	28.99
20170324 20:30:00	10.57	79.38	23.01
20170324 21:00:00	10.958	75.86	24.88
20170324 21:30:00	14.319	87.00	29.17
20170324 22:00:00	10.625	84.64	23.27
20170324 22:30:00	14.538	86.94	25.08
20170324 23:00:00	10.699	88.74	27.38
20170324 23:30:00	13.614	89.09	29.05
20170325 01:00:00	16.515	92.22	24.94
20170325 01:30:00	10.86	74.47	29.23
20170325 02:00:00	16.26	90.02	24.46
20170325 02:30:00	10.562	88.97	27.23
20170325 03:00:00	15.477	88.97	30.47
20170325 03:30:00	10.748	90.23	30.70
20170325 04:00:00	10.03	90.69	29.71
20170325 04:30:00	10.571	90.43	30.01
20170325 05:00:01	13.65	91.90	25.27
20170325 05:30:00	10.733	91.56	27.87
20170325 06:00:00	10.749	89.26	26.13
20170325 06:30:00	10.647	88.66	28.10
20170325 07:00:00	10.799	89.31	30.76
20170325 07:30:00	13.72	90.24	30.59
20170325 08:00:00	10.644	90.72	29.84
20170325 08:30:00	13.882	90.62	25.06
20170325 09:00:00	10.881	91.96	29.67
20170325 09:30:00	13.714	91.47	28.69
20170325 10:00:00	10.578	92.72	30.49
20170325 10:30:01	14.082	90.75	27.29
20170325 11:00:00	10.559	91.33	30.06
20170325 11:30:00	10.565	90.69	27.93
20170325 12:00:01	13.761	90.97	31.11
20170325 12:30:00	10.629	91.38	28.71
20170325 13:00:00	15.013	90.03	29.63
20170325 13:30:01	10.779	84.70	29.12
20170325 14:00:00	13.602	91.32	27.14
20170325 14:30:00	13.816	91.88	27.60
20170325 15:00:00	14.094	89.62	29.49
20170325 15:30:00	14.774	89.50	28.42
20170325 16:00:00	16.705	89.83	29.68
20170325 16:30:00	10.641	91.58	30.48
20170325 17:00:00	14.809	91.43	28.01
20170325 17:30:00	10.666	90.22	28.92
20170325 18:00:00	15.201	91.40	27.14
20170325 18:30:00	10.634	90.64	25.76
20170325 19:00:00	15.728	91.55	29.33
20170325 19:30:00	13.626	89.32	26.24
20170325 20:00:00	10.631	91.97	28.08
20170325 20:30:01	14.858	85.58	20.75
20170325 21:00:00	10.91	88.56	28.23
20170325 21:30:00	14.206	87.79	24.60
20170325 22:00:01	10.585	89.28	25.40
20170325 22:30:00	10.574	89.53	24.42
20170325 23:00:00	14.949	91.02	27.16
20170325 23:30:00	10.597	89.07	27.85
20170326 00:00:00	14.47	91.47	29.50
20170326 00:30:00	10.538	91.70	28.56
20170326 01:00:01	13.648	91.46	28.03
20170326 01:30:00	10.562	90.30	27.29
20170326 02:00:00	16.334	91.57	27.61
20170326 02:30:00	14.504	92.28	26.87
20170326 03:00:00	10.757	89.94	27.86
20170326 03:30:00	14.389	90.33	25.00
20170326 04:00:00	10.447	90.40	29.48
20170326 04:30:00	13.863	91.20	29.05
20170326 05:00:00	10.551	92.00	31.13
20170326 05:30:00	14.221	90.69	30.98
20170326 06:00:00	10.708	88.46	31.44
20170326 06:30:01	13.408	90.75	28.88
20170326 07:00:00	10.577	90.10	30.26
20170326 07:30:00	14.004	90.09	28.78
20170326 08:00:00	10.559	90.29	27.81
20170326 08:30:00	14.347	89.92	30.68
20170326 09:00:01	10.581	90.99	27.36
20170326 09:30:00	14.008	90.61	27.85
20170326 10:00:00	18.079	89.00	28.47
20170326 10:30:00	10.825	85.23	28.60
20170326 11:00:00	16.122	84.29	24.68
20170326 11:30:00	10.711	85.57	28.21
20170326 12:00:00	16.893	82.93	28.55
20170326 12:30:00	10.61	90.66	30.24
20170326 13:00:00	14.897	90.76	29.90
20170326 13:30:00	13.684	91.03	29.22
20170326 14:00:00	10.551	91.97	31.82
20170326 14:30:00	15.781	91.62	28.53
20170326 15:00:00	14.823	90.19	28.72
20170326 15:30:00	13.736	90.15	30.10
20170326 16:00:00	14.378	91.64	27.82
20170326 16:30:00	14.332	90.13	26.62
20170326 17:00:01	10.574	91.34	25.79
20170326 17:30:00	16.526	89.76	27.64
20170326 18:00:00	14.053	90.02	28.90
20170326 18:30:00	14.986	91.19	26.23
20170326 19:00:00	10.522	92.42	29.47
20170326 19:30:00	13.882	89.66	29.23
20170326 20:00:00	14.159	88.64	28.33
20170326 20:30:00	30.982	76.56	16.98
20170326 21:00:00	35.081	73.81	17.06
20170326 21:30:00	24.446	66.64	19.38
20170326 22:00:00	16.17	88.55	26.93
20170326 22:30:00	10.858	88.82	27.79
20170326 23:00:00	16.89	90.11	31.10
20170326 23:30:00	14.233	90.63	29.61
20170327 00:00:01	215.148	91.52	28.03
20170327 00:30:00	10.767	90.24	30.01
20170327 01:00:00	14.905	91.88	29.40
20170327 01:30:00	10.743	90.25	28.31
20170327 02:00:00	14.282	91.05	28.09
20170327 02:30:00	10.787	91.74	30.40
20170327 03:00:00	15.029	90.20	26.42
20170327 03:30:00	14.463	91.42	30.22
20170327 04:00:00	14.646	92.26	28.05
20170327 04:30:00	14.101	91.20	29.89
20170327 05:00:00	10.612	90.40	27.94
20170327 05:30:00	14.09	91.79	29.78
20170327 06:00:00	7.527	91.04	30.06
20170327 06:30:01	14.023	91.68	29.28
20170327 07:00:00	10.636	90.42	29.04
20170327 07:30:00	10.666	90.91	30.21
20170327 08:00:00	9.809	91.15	26.95
20170327 08:30:00	15.179	90.71	26.53
20170327 09:00:00	14.846	90.69	27.12
20170327 09:30:00	10.972	91.68	30.94
20170327 10:00:00	13.335	91.75	29.34
20170327 10:30:00	13.573	90.95	29.06
20170327 11:00:00	13.899	91.93	28.44
20170327 11:30:00	14.46	90.14	29.00
20170327 12:00:00	11.077	89.62	29.02
20170327 12:30:00	10.975	90.50	28.47
20170327 13:00:00	10.538	90.94	29.57
20170327 13:30:00	10.791	91.26	28.99
20170327 14:00:00	11.015	91.32	28.94
20170327 14:30:00	10.65	91.48	27.91
20170327 15:00:00	14.294	85.73	27.84
20170327 15:30:00	13.683	86.06	23.20
20170327 16:00:00	10.304	88.52	27.96
20170327 16:30:00	13.979	89.54	28.16
20170327 17:00:00	10.754	91.18	29.98
20170327 17:30:01	13.509	90.64	26.48
20170327 18:00:00	10.62	90.33	28.18
20170327 18:30:00	10.739	91.26	28.81
20170327 19:00:00	14.614	91.90	28.30
20170327 19:30:00	9.788	89.77	29.62
20170327 20:00:00	23.969	82.99	23.82
20170327 20:30:00	73.625	67.14	16.56
20170327 21:00:00	48.143	62.66	14.20
20170327 21:30:00	23.912	81.56	24.25
20170327 22:00:00	16.482	87.61	28.02
20170327 22:30:00	15.936	87.84	28.26
20170327 23:00:00	15.158	91.20	28.20
20170327 23:30:00	14.413	91.93	28.64
20170328 00:00:00	15.307	88.59	30.04
20170328 00:30:00	10.667	90.55	29.39
20170328 01:00:00	14.809	90.97	29.11
20170328 01:30:00	10.438	91.02	27.90
20170328 02:00:00	13.759	91.79	26.66
20170328 02:30:00	13.886	90.78	28.49
20170328 03:00:00	15.512	91.95	25.87
20170328 03:30:00	10.631	90.56	28.56
20170328 04:00:00	15.095	89.32	27.22
20170328 04:30:00	10.655	89.79	28.70
20170328 05:00:00	10.722	91.75	25.88
20170328 05:30:00	13.781	91.17	28.84
20170328 06:00:00	14.162	91.92	25.29
20170328 06:30:00	10.838	92.14	27.37
20170328 07:00:00	14.047	92.07	27.92
20170328 07:30:00	10.599	90.61	26.45
20170328 08:00:00	13.883	91.27	29.12
20170328 08:30:00	13.752	91.32	27.80
20170328 09:00:00	10.791	89.45	27.16
20170328 09:30:00	13.87	92.11	30.15
20170328 10:00:00	10.831	88.58	30.31
20170328 10:30:00	15.25	90.02	30.65
20170328 11:00:00	10.672	88.22	30.13
20170328 11:30:01	14.689	91.10	27.46
20170328 12:00:00	10.446	88.41	26.73
20170328 12:30:01	error	error	error
20170328 13:00:00	14.388	89.51	30.05
20170328 13:30:00	12.132	87.09	29.64
20170328 14:00:00	13.524	15.02	17.62
20170328 14:30:01	13.128	13.83	21.16
20170328 15:00:00	12.441	15.88	23.33
20170328 15:30:00	15.706	16.10	23.84
20170328 16:00:00	13.687	13.72	15.44
20170328 16:30:00	16.114	15.14	20.84
20170328 17:00:00	12.701	15.16	21.67
20170328 17:30:00	16.62	18.10	22.41
20170328 18:00:00	12.896	24.01	30.40
20170328 18:30:00	21.74	19.33	29.40
20170328 19:00:00	14.622	17.53	23.13
20170328 19:30:00	207.889	18.60	15.34
20170328 20:00:00	24.479	18.44	22.82
20170328 20:30:00	19.054	19.61	22.72
20170328 21:00:00	18.246	18.00	20.74
20170328 21:30:00	15.832	19.12	25.64
20170328 22:00:00	24.845	15.03	16.42
20170328 22:30:00	15.104	16.71	20.58
20170328 23:00:00	26.085	16.18	20.34
20170328 23:30:00	16.823	25.23	27.40
20170329 00:00:00	17.55	19.88	26.39
20170329 00:30:00	20.983	20.29	22.68
20170329 01:00:00	17.18	20.56	23.29
20170329 01:30:00	16.304	26.02	24.40
20170329 02:00:00	17.336	20.45	21.22
20170329 02:30:00	13.901	20.01	23.90
20170329 03:00:00	17.045	20.32	21.13
20170329 03:30:00	17.839	22.41	23.76
20170329 04:00:01	13.463	20.34	23.47
20170329 04:30:00	17.941	20.82	23.81
20170329 05:00:00	15.357	19.15	26.15
20170329 05:30:00	12.561	26.66	29.13
20170329 06:00:00	15.194	20.17	26.60
20170329 06:30:00	12.197	20.43	21.27
20170329 07:00:00	18.272	16.39	26.05
20170329 07:30:00	12.692	7.91	14.01
20170329 08:00:00	17.493	16.62	25.76
20170329 08:30:00	13.14	16.84	24.44
20170329 09:00:00	18.485	19.29	25.69
20170329 09:30:00	16.845	18.53	23.06
20170329 10:00:00	14.755	15.89	28.05
20170329 10:30:00	14.378	4.02	0.00
20170329 11:00:00	14.45	91.82	29.88
20170329 11:30:00	12.864	90.78	28.99
20170329 12:00:00	14.275	88.22	29.63
20170329 12:30:00	11.308	84.89	27.68
20170329 13:00:00	14.125	92.94	28.96
20170329 13:30:00	14.011	93.10	30.98
20170329 14:00:00	10.316	91.39	28.15
20170329 14:30:00	13.623	90.91	29.53
20170329 15:00:00	13.454	89.79	25.85
20170329 15:30:00	13.975	91.66	29.53
20170329 16:00:00	10.57	90.11	25.98
20170329 16:30:00	28.651	91.39	25.47
20170329 17:00:00	10.95	91.30	29.60
20170329 17:30:00	13.629	90.95	30.51
20170329 18:00:00	11.873	90.16	28.50
20170329 18:30:00	13.953	90.82	27.29
20170329 19:00:00	10.785	91.78	25.74
20170329 19:30:01	15.221	91.59	28.55
20170329 20:00:00	15.267	85.49	26.30
20170329 20:30:00	13.91	87.44	26.85
20170329 21:00:00	17.607	68.91	26.25
20170329 21:30:00	12.481	85.30	28.90
20170329 22:00:00	14.382	88.89	29.52
20170329 22:30:00	10.864	91.38	25.54
20170329 23:00:00	14.081	90.36	27.23
20170329 23:30:00	10.305	90.94	26.89
20170330 00:00:00	10.763	85.58	29.40
20170330 00:30:00	13.895	89.37	28.71
20170330 01:00:00	13.68	91.94	28.11
20170330 01:30:00	10.704	90.22	28.90
20170330 02:00:00	14.732	87.21	24.85
20170330 02:30:00	14.146	90.77	30.58
20170330 03:00:01	11.002	87.31	25.27
20170330 03:30:00	15.0	90.07	29.87
20170330 04:00:00	10.74	90.78	28.68
20170330 04:30:00	13.841	90.99	31.68
20170330 05:00:00	14.036	89.47	29.53
20170330 05:30:01	14.156	91.14	31.59
20170330 06:00:00	13.872	91.46	28.04
20170330 06:30:00	14.896	90.72	25.55
20170330 07:00:00	10.597	92.56	31.12
20170330 07:30:00	13.643	91.65	26.89
20170330 08:00:00	10.742	89.56	28.06
20170330 08:30:00	10.776	91.54	29.54
20170330 09:00:00	11.499	89.46	25.71
20170330 09:30:00	15.342	85.71	28.18
20170330 10:00:00	10.615	92.12	27.46
20170330 10:30:00	16.933	85.86	30.84
20170330 11:00:00	14.399	87.26	30.05
20170330 11:30:00	14.005	89.65	29.30
20170330 12:00:00	11.289	91.40	26.77
20170330 12:30:00	15.614	92.66	30.26
20170330 13:00:00	14.301	91.19	29.52
20170330 13:30:00	14.563	83.00	27.70
20170330 14:00:00	11.386	87.86	30.22
20170330 14:30:00	14.708	78.66	26.31
20170330 15:00:00	11.967	82.81	29.55
20170330 15:30:00	14.181	86.34	29.93
20170330 16:00:00	11.106	83.15	26.99
20170330 16:30:00	14.242	91.12	28.98
20170330 17:00:00	10.691	90.85	28.15
20170330 17:30:00	10.818	91.51	26.29
20170330 18:00:00	13.894	91.50	24.15
20170330 18:30:00	14.767	88.49	28.80
20170330 19:00:01	14.086	91.06	28.76
20170330 19:30:00	14.163	92.20	25.24
20170330 20:00:00	14.595	85.19	28.65
20170330 20:30:00	13.0	86.20	27.26
20170330 21:00:00	16.464	83.61	30.06
20170330 21:30:00	14.275	87.48	29.23
20170330 22:00:00	10.647	90.05	26.85
20170330 22:30:00	10.632	91.48	28.44
20170330 23:00:00	10.353	90.39	27.97
20170330 23:30:00	13.778	92.77	31.44
20170331 00:00:00	11.2	90.40	28.40
20170331 00:30:00	15.276	91.68	23.45
20170331 01:00:00	10.872	89.81	27.67
20170331 01:30:00	13.985	90.46	28.34
20170331 02:00:00	10.798	91.28	25.54
20170331 02:30:00	14.615	91.19	31.94
20170331 03:00:00	10.794	92.35	29.17
20170331 03:30:00	13.933	88.72	29.04
20170331 04:00:00	10.529	89.71	29.59
20170331 04:30:00	14.284	90.14	29.73
20170331 05:00:00	10.41	92.13	28.97
20170331 05:30:00	14.628	91.41	26.42
20170331 06:00:00	10.743	91.68	28.22
20170331 06:30:01	11.09	92.38	28.35
20170331 07:00:01	13.914	90.00	27.94
20170331 07:30:00	14.269	90.71	29.36
20170331 08:00:00	11.024	91.20	26.34
20170331 08:30:00	14.719	89.04	23.72
20170331 09:00:00	13.786	90.55	27.97
20170331 09:30:00	11.323	91.40	26.86
20170331 10:00:00	15.187	90.99	29.90
20170331 10:30:00	11.425	90.96	28.14
20170331 11:00:00	14.625	91.22	26.98
20170331 11:30:00	14.64	91.52	28.76
20170331 12:00:00	14.948	89.57	28.93
20170331 12:30:00	10.479	86.77	26.59
20170331 13:00:00	15.164	85.84	27.00
20170331 13:30:00	14.794	91.11	29.22
20170331 14:00:00	10.797	90.81	28.66
20170331 14:30:00	16.088	90.63	31.73
20170331 15:00:00	11.017	90.99	29.57
20170331 15:30:00	13.75	90.01	27.72
20170331 16:00:00	12.387	88.03	29.42
20170331 16:30:00	error	error	error
20170331 17:00:00	18.651	7.36	1.02
20170331 17:30:00	15.356	91.58	28.75
20170331 18:00:00	10.559	89.98	28.85
20170331 18:30:01	13.858	86.37	27.97
20170331 19:00:00	11.156	87.51	29.18
20170331 19:30:00	15.548	91.59	28.21
20170331 20:00:00	10.722	88.75	28.76
20170331 20:30:00	15.43	89.10	29.43
20170331 21:00:00	16.089	77.63	24.03
20170331 21:30:00	13.584	84.76	26.43
20170331 22:00:00	19.637	78.60	27.42
20170331 22:30:00	14.786	89.36	28.38
20170331 23:00:00	9.094	88.34	26.79
20170331 23:30:00	8.929	90.54	28.59
20170401 00:00:00	10.997	90.98	30.95
20170401 00:30:00	14.592	91.02	29.29
20170401 01:00:00	10.886	91.64	27.43
20170401 01:30:00	15.097	92.69	31.13
20170401 02:00:00	10.886	88.16	27.60
20170401 02:30:00	14.714	89.92	30.09
20170401 03:00:00	14.07	90.61	31.20
20170401 03:30:00	14.428	92.52	28.98
20170401 04:00:00	10.806	91.58	25.12
20170401 04:30:00	14.608	90.79	25.98
20170401 05:00:00	10.671	89.41	24.75
20170401 05:30:00	13.719	91.95	29.77
20170401 06:00:00	10.017	90.32	28.67
20170401 06:30:00	13.676	88.96	27.93
20170401 07:00:00	13.587	91.38	26.71
20170401 07:30:00	13.718	91.21	26.92
20170401 08:00:00	14.775	91.21	30.49
20170401 08:30:00	13.832	90.48	28.74
20170401 09:00:00	10.872	91.35	28.09
20170401 09:30:00	15.287	90.80	29.37
20170401 10:00:01	10.125	88.95	29.78
20170401 10:30:00	12.099	91.03	28.71
20170401 11:00:00	12.936	92.16	28.57
20170401 11:30:00	11.545	90.64	29.52
20170401 12:00:00	15.071	91.87	30.65
20170401 12:30:01	10.029	89.69	28.01
20170401 13:00:00	14.647	89.92	29.08
20170401 13:30:00	15.673	90.30	29.10
20170401 14:00:00	10.988	89.64	24.95
20170401 14:30:01	15.176	90.13	31.71
20170401 15:00:00	15.056	88.95	29.58
20170401 15:30:00	13.955	83.43	29.78
20170401 16:00:00	14.285	83.88	28.65
20170401 16:30:00	13.041	91.45	26.50
20170401 17:00:00	10.6	90.75	26.61
20170401 17:30:00	8.854	90.36	28.80
20170401 18:00:00	13.701	91.54	28.39
20170401 18:30:00	14.002	89.99	28.74
20170401 19:00:00	11.075	89.46	29.41
20170401 19:30:00	14.113	86.21	24.29
20170401 21:00:00	99.28	78.44	22.72
20170401 21:30:00	23.077	0.10	27.48
20170402 08:00:00	13.657	90.39	29.55
20170402 20:30:00	29.311	84.00	23.82
20170403 16:00:00	18.494	90.80	29.68
20170404 04:30:01	15.06	91.18	27.93
20170404 14:00:00	14.186	93.17	0.04
20170405 09:30:00	15.601	90.63	29.11
20170406 01:00:00	12.315	93.26	33.19
20170406 09:30:00	14.605	91.42	26.82
20170406 10:00:00	14.638	89.89	29.80
20170406 10:30:00	10.824	91.35	30.17
20170406 11:00:00	16.198	89.32	29.03
20170406 11:30:00	10.606	91.35	28.21
20170406 12:00:00	14.257	92.08	27.86
20170406 12:30:00	10.851	91.74	27.62
20170406 13:00:00	16.326	89.68	29.72
20170406 13:30:00	10.831	88.68	28.38
20170406 14:00:00	16.927	89.83	29.66
20170406 14:30:00	14.776	79.44	26.77
20170406 15:00:00	16.047	80.30	27.37
20170406 15:30:00	10.807	79.43	25.72
20170406 16:00:00	14.234	82.48	29.03
20170406 16:30:00	15.696	74.96	28.09
20170406 17:00:00	10.743	85.54	25.68
20170406 17:30:00	10.645	91.44	30.67
20170406 18:00:01	14.123	91.84	29.34
20170406 18:30:01	10.683	89.46	29.45
20170406 19:00:00	14.051	90.46	27.80
20170406 19:30:00	14.592	90.44	28.27
20170406 20:00:00	13.906	87.72	24.46
20170406 20:30:00	36.701	62.46	28.54
20170406 21:00:00	14.504	57.66	28.71
20170406 21:30:00	17.764	48.88	25.45
20170406 22:00:00	17.252	81.30	28.06
20170406 22:30:00	10.753	90.35	29.68
20170406 23:00:00	214.377	90.29	30.74
20170406 23:30:01	14.28	91.13	27.95
20170407 00:00:00	12.127	88.11	26.69
20170407 00:30:01	13.66	89.26	29.87
20170407 01:00:00	10.762	89.10	31.57
20170407 01:30:01	13.465	90.18	28.30
20170407 02:00:00	10.669	89.18	29.58
20170407 02:30:00	16.232	89.05	29.43
20170407 03:00:00	10.855	89.65	28.88
20170407 03:30:00	10.914	88.30	29.77
20170407 04:00:01	214.472	91.50	29.27
20170407 04:30:00	10.857	86.82	27.98
20170407 05:00:00	12.844	87.89	28.45
20170407 05:30:00	9.561	89.63	27.17
20170407 06:00:00	15.189	89.36	29.36
20170407 06:30:00	10.287	89.03	26.72
20170407 07:00:00	14.55	89.60	29.04
20170407 07:30:00	10.718	89.00	29.06
20170407 08:00:00	15.01	89.16	29.63
20170407 08:30:00	14.578	90.06	27.30
20170407 09:00:00	10.597	88.94	25.34
20170407 09:30:00	12.18	90.05	29.90
20170407 10:00:00	8.887	91.80	28.17
20170407 10:30:00	8.858	87.98	31.31
20170407 11:00:00	14.107	88.15	28.70
20170407 11:30:00	14.234	89.03	24.28
20170407 12:00:00	10.679	90.53	30.19
20170407 12:30:00	15.432	82.39	28.53
20170407 13:00:00	13.77	80.64	27.90
20170407 13:30:00	14.359	85.08	26.67
20170407 14:00:00	11.399	83.58	24.33
20170407 14:30:00	15.115	83.15	29.89
20170407 15:00:00	14.408	84.99	30.08
20170407 15:30:00	15.593	83.57	28.10
20170407 16:00:00	10.302	84.93	28.12
20170407 16:30:00	14.687	83.13	29.28
20170407 17:00:00	14.076	85.12	28.49
20170407 17:30:00	15.053	89.63	24.12
