Date	Ping	Down	Up
20160627 10:00:00	13.06	85.01	26.45
20160627 10:30:00	25.353	49.30	26.55
20160627 11:00:01	12.716	69.95	25.40
20160627 11:30:00	14.013	68.64	23.66
20160627 12:00:01	13.587	72.44	27.17
20160627 12:30:00	15.207	58.06	23.43
20160627 13:00:00	14.015	53.06	21.41
20160627 13:30:00	17.135	34.01	19.52
20160627 14:00:00	22.445	18.48	18.46
20160627 14:30:00	25.765	5.88	15.92
20160627 15:00:00	19.751	5.21	15.69
20160627 15:30:00	27.948	7.18	12.01
20160627 16:00:00	198.93	3.61	13.04
20160627 16:30:00	28.12	3.81	11.37
20160627 17:00:00	not	configuration:	
20160627 17:30:00	18.586	10.30	17.96
20160627 18:00:00	195.575	7.04	12.31
20160627 18:30:00	219.758	6.54	15.46
20160627 19:00:00	223.916	2.70	14.14
20160627 19:30:00	25.7	1.41	13.02
20160627 20:00:00	19.503	7.16	16.65
20160627 20:30:00	59.274	2.68	13.04
20160627 21:00:00	36.228	4.03	18.21
20160627 21:30:00	241.242	0.71	12.57
20160627 22:00:00	379.197	0.44	13.35
20160627 22:30:00	29.675	0.89	10.67
20160627 23:00:00	219.19	2.33	10.32
20160627 23:30:00	24.53	5.44	18.61
20160628 00:00:00	142.533	9.78	15.47
20160628 00:30:00	23.356	12.17	17.32
20160628 01:00:00	17.413	30.45	22.99
20160628 01:30:00	13.058	85.34	26.08
20160628 02:00:00	12.715	85.52	25.79
20160628 02:30:00	12.781	94.27	26.76
20160628 03:00:00	13.219	93.70	25.90
20160628 03:30:00	16.188	90.80	27.08
20160628 04:00:00	13.371	90.55	27.84
20160628 04:30:00	13.127	93.92	27.04
20160628 05:00:00	13.109	92.42	28.25
20160628 05:30:00	35.555	86.02	21.36
20160628 06:00:00	13.54	90.08	27.44
20160628 06:30:00	13.298	92.38	27.65
20160628 07:00:00	69.724	93.99	27.03
20160628 07:30:01	13.164	92.16	28.10
20160628 08:00:00	12.773	92.03	26.68
20160628 08:30:00	12.94	87.92	26.64
20160628 09:00:00	14.431	71.72	25.34
20160628 09:30:00	14.125	77.89	26.36
20160628 10:00:00	16.209	79.18	26.99
20160628 10:30:01	14.504	72.34	25.60
20160628 11:00:00	12.871	72.80	27.97
20160628 11:30:00	25.176	48.53	24.61
20160628 12:00:00	32.74	29.91	20.04
20160628 12:30:00	13.393	34.93	18.44
20160628 13:00:00	13.768	47.82	25.14
20160628 13:30:00	21.842	54.65	1.70
20160628 14:00:00	13.419	38.60	24.42
20160628 14:30:00	13.385	17.43	20.90
20160628 15:00:00	25.812	11.09	17.13
20160628 15:30:00	15.501	16.06	18.23
20160628 16:00:00	369.949	17.81	14.72
